index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,id,processed_tweets,LOC,place
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228747489542434816,smell ,,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228670501066690560,"another day another birthday celebration this time my fathers 
 
been wanting to try this cafe and finally we did today the smell of waffles is really strong here but alas no coffee drinks coz coffee machine https www instagram compb8lsgquhb2c igshid 1bzny446r6vgg",,"East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228659135744376833,things with teeth can smell fear,,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228521241864101888,was close to the sambal for about 15 sec and now i smell like sambal hais,,"North-East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228445908884307968,"i look at today as a reminder 
to smell the roses
to love while were here
to appreciate each other and ourselves 
our planet our spirits
to give sweet unexpected surprises
to be tender 
to be thoughtful 
to take care of you your heart your body ",,"East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228219187744526337,ah shit i just read about it no wonder since 3 am ish i smell it,,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228208161833639938,people in the west do you smell haze in the air ,,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228194444500860929,83 for crocs that smell like chicken sign me up https twitter comchannelnewsasiastatus1228191669654188032,,"North Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228192172299538433,so i coughed from breathing in the pungent smell of some commuters perfum in the train then people start looking ag me like can people chill i use my elbow to keep it within my personal space i mean how the hell am i supoose to know i would react to it ,,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228185541251780610,"its smoked duck linguine for lunch today  smell curry hit i couldnt cook curry  
  tampines https www instagram compb8ip 0xnbgjr7tsrsi3 crcwhxlfudyhqer bk0 igshid qu9309gwh796",tampines,"East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227977317122625537,ahhh love the smell of it in the air,,"North Region, Singapore"
oat,-0.32416659593582153,-0.5390002131462097,-0.406242311000824,0.41776472330093384,0.025115612894296646,0.6642906069755554,-1.2063348293304443,-0.8220034241676331,0.2701773941516876,-0.8868001699447632,-0.6855588555335999,-0.8586142063140869,-0.9080533385276794,-0.5160232186317444,-0.05669168382883072,0.019603831693530083,1.011615514755249,-0.2727797329425812,0.47126099467277527,1.3715115785598755,-1.3283889293670654,0.04213817045092583,0.29206082224845886,0.12070554494857788,0.3092707693576813,0.5181223750114441,-0.19431307911872864,-0.360164076089859,0.28474393486976624,0.10960102826356888,0.43535104393959045,0.15503910183906555,-0.006854931823909283,0.2188364714384079,-1.3204916715621948,-0.23843742907047272,0.3385249972343445,-0.508728563785553,0.8917257189750671,0.9156116247177124,-0.43416717648506165,-0.5300660133361816,-0.13861793279647827,-1.1874613761901855,0.9948212504386902,0.2635476887226105,0.055956266820430756,-1.2238588333129883,0.9627026319503784,0.19690489768981934,1227970868535447552,"moisturizer  i liked the water texture disliked the oat smell at first haha but got used to it takes time to absorb 

serum  glides through the skin  a little heavy for a serum but its okay sometimes i use the serum without the moisturizer bcs it can act like one heh ",,"East Region, Singapore"
specific,0.537501335144043,0.16662608087062836,-0.3655000627040863,0.4963940680027008,1.2447837591171265,-0.13676409423351288,0.5582782626152039,-1.2316352128982544,0.4710018038749695,0.018657755106687546,-0.35543757677078247,-0.3402538299560547,-3.107529401779175,-0.09099622070789337,-0.040844179689884186,1.001320719718933,1.5054407119750977,-0.07797949761152267,0.41655075550079346,-0.3003920316696167,0.4599127471446991,0.6258273720741272,0.2410172075033188,-0.08739107102155685,-0.7782050967216492,0.814169704914093,-0.05632586404681206,0.6840822696685791,0.07387593388557434,-0.2280794382095337,0.14687824249267578,-0.18514887988567352,0.48228198289871216,-0.7767441868782043,1.204237461090088,0.008798129856586456,-0.14375440776348114,0.1690400391817093,0.0949425920844078,-0.6825767755508423,0.20093406736850739,0.8647582530975342,1.0135859251022339,-0.6674885749816895,-0.4182742238044739,-0.1812385618686676,0.0546468086540699,0.5002599954605103,-0.46766260266304016,-0.2294916957616806,1227907509131677696,i swear every bus 39 has this specific smell  it hasnt changed since i was in primary sch ,,"North Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227548952200790018,im not trying to be rude but you put on a mask but still smell hapak nak mampos goodness tell me exactly how personal hygiene hello ke kau tak tahu yg kau bau busuk ugh fuck off pls,,"Central Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227437489687859200,"hugs karisma
karisma u still smell so good all this while dude
me bruh i just ran at the field",,"East Region, Singapore"
steam,-0.35631123185157776,-0.019286854192614555,-1.0727691650390625,-0.36463239789009094,0.0660196989774704,0.644192636013031,0.28378263115882874,-0.8569658398628235,0.8673079013824463,-0.57901531457901,0.4192483723163605,0.7359567284584045,-2.381530284881592,0.49827444553375244,0.18052124977111816,-0.1354464441537857,0.8662590384483337,0.22445520758628845,-0.00931989960372448,0.20590753853321075,-1.221063494682312,-0.3784773349761963,0.899947464466095,-0.7066633701324463,-0.936004102230072,-0.27267464995384216,-0.3202543556690216,0.21628649532794952,0.10301541537046432,0.36631497740745544,0.1557958573102951,-0.27365565299987793,0.10245133191347122,-0.1944608986377716,0.22320789098739624,-0.42892879247665405,0.49665138125419617,-0.5459736585617065,-0.47989028692245483,0.6034340262413025,-0.4047900438308716,0.30347365140914917,-0.7626453638076782,0.03548261895775795,0.8788279891014099,0.04973379895091057,-0.43424323201179504,0.07384177297353745,0.2665173411369324,0.6939569711685181,1227410030548246528,mind you i havent eaten rice as my daily staple for months now bcz im repelled by the smell of steam white rice yes im weird pic twitter comyteaaww6p6,,"East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227271304119648257,i smell privilege https twitter comtissuepaperhoestatus1226697295892074496,,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227216071238639617,"entered the van and i keep telling him why smell of food 
he step tk faham what i was talking abt saying maybe i hunghry tts y i smell food dlm van dia 
tau2 bila sampai carpark he kluarkan my fav tom yum ban mian 
kemain lagi dah pandai nk surprise2 kan kita ",tau2,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227017314597367808,"tom fords fucking fabulous is well fucking fabulous 

i can still smell it on me now  def smells better now when its trying to punch me in the nose ",,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227011140686761986,ants got this kind of smell went they walk on ur face,,"East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226847293749391360,why does my house stink so bad nak muntah bau ni i hate when nearby neighbours cook and the smell masuk our house i can die suffocated i wish i can tolerate the smell ,,"North Region, Singapore"
hands,-0.2851487994194031,-0.13390345871448517,0.9658527970314026,0.5779566168785095,0.019210243597626686,0.06599204242229462,1.1256812810897827,0.7957064509391785,-0.4571451246738434,-0.006834291387349367,0.2214544713497162,0.344611793756485,-4.091224193572998,-0.6842214465141296,-0.1530347764492035,-0.04015771672129631,-0.32994723320007324,-0.7377253174781799,-0.0014738764148205519,-1.2220251560211182,-0.7678646445274353,0.18810933828353882,0.438059002161026,0.614567220211029,0.38517001271247864,0.7381711006164551,-0.597507894039154,0.30959370732307434,-0.0388806015253067,0.23120000958442688,-0.3606073558330536,0.28840047121047974,-0.5988600850105286,0.034647002816200256,0.8034283518791199,-0.2519895136356354,0.18844649195671082,0.031686630100011826,0.1462777704000473,0.4111981689929962,0.06886343657970428,0.2549322545528412,-0.23463529348373413,0.23970972001552582,0.7000830173492432,-0.5303841829299927,1.1022510528564453,0.3460010588169098,0.8839715719223022,0.555867612361908,1226737196612251648,my hands smell like vanilla uwu i love it ,,"East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226568894724239360,take time to smell the roses  floral fantasy https www instagram compb8wwz2zbnqf igshid r2r5879io1lj,,"Central Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226406646307422208,"so i decided to go for a half arm tattoo and finished it in one session lasting almost 8 hours give or take cuz the artist really took this like a competition

i smell like wet dog right now wtf",,"North-East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226402393270603776,i like the smell of dettol ,,"Central Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226372974376210432,tnc just brought back the es x morph combo  ow shit i smell champions https twitter comtncpredatorstatus1226362373759328256,,"East Region, Singapore"
