id,LOC_x,index,processed_tweets,place,loc_pretrained,sentiment_scores
6.94e+17,casa de aloba,,,,,0.0
6.95e+17,marina bay sands,,,,,0.0
6.95e+17,yishun,,,,,0.0
6.98e+17,nylon coffee roasters,,,,,0.0
7e+17,nanyang polytechnic,,,,,0.0
7.02e+17,abercrombie,,,,,0.0
7.02e+17,white sands shopping centre,,,,,0.0
7.02e+17,pasir ris mrt station,,,,,0.0
7.02e+17,pasir ris,,,,,0.0
7.05e+17,newton edge,,,,,0.0
7.07e+17,temasek polytechnic,,,,,0.0
7.09e+17,jalan eunos,,,,,0.0
7.1e+17,jalan tenaga,,,,,0.0
7.1e+17,chinatown,,,,,0.0
7.11e+17,"kith cafe,park mall",,,,,0.0
7.15e+17,suki ya,,,,,0.0
7.15e+17,woodlands waterfront,,,,,0.0
7.2e+17,daessiksin korean,,,,,0.0
7.21e+17,pasir ris park,,,,,0.0
7.24e+17,ifs white collar boxing,,,,,0.0
7.25e+17,k garden karaoke,,,,,0.0
7.27e+17,sim global education,,,,,0.0
7.28e+17,mrs maxwell,,,,,0.0
7.29e+17,alan seafood,,,,,0.0
7.3e+17,holland village mrt station,,,,,0.0
7.32e+17,victoria concert hall,,,,,0.0
7.33e+17,jurong east,,,,,0.0
7.43e+17,hello kitty cafe,,,,,0.0
7.44e+17,whisk cafe,,,,,0.0
7.45e+17,raffles city,,,,,0.0
7.45e+17,sentosa,,,,,0.0
7.52e+17,city beach resort,,,,,0.0
7.54e+17,kranji secondary school,,,,,0.0
7.56e+17,ion orchard,,,,,0.0
7.58e+17,hotel boss,,,,,0.0
7.6e+17,bijin nabe,,,,,0.0
7.65e+17,extra virgin pizza,,,,,0.0
7.69e+17,jalan bahar,,,,,0.0
7.71e+17,leedon heights,,,,,0.0
7.77e+17,river safari,,,,,0.0
7.85e+17,exclaims banana phobic sihan,,,,,0.0
7.85e+17,rochor centre,,,,,0.0
7.86e+17,kwan im thong hood cho temple,,,,,0.0
7.9e+17,loyang valley,,,,,0.0
7.92e+17,komalas villas,,,,,0.0
7.92e+17,woodlands,,,,,0.0
7.93e+17,little india,,,,,0.0
7.93e+17,bodyworks hand wash this morning,,,,,0.0
7.93e+17,bendemeer market  food centre,,,,,0.0
7.94e+17,tanjong rhu prawn noodles,,,,,0.0
7.94e+17,woodlands checkpoint,,,,,0.0
7.96e+17,little india,,,,,0.0
7.96e+17,pulau tekong,,,,,0.0
7.97e+17,chir chir,,,,,0.0
8e+17,dough pic,,,,,0.0
8.02e+17,westgate mall,,,,,0.0
8.04e+17,universal studios,,,,,0.0
8.05e+17,woodlands checkpoint,,,,,0.0
8.07e+17,new lippy collection,,,,,0.0
8.08e+17,singapore art museum,,,,,0.0
8.09e+17,parkview apartments,,,,,0.0
8.14e+17,little india,,,,,0.0
8.15e+17,happy long,,,,,0.0
8.17e+17,Esther & Michael's Crib,,,,,0.0
8.19e+17,singapore zoo,,,,,0.0
8.2e+17,big street,,,,,0.0
8.23e+17,katong laksa,,,,,0.0
8.26e+17,tippling club,,,,,0.0
8.29e+17,grease monkey barber garage,,,,,0.0
8.33e+17,dona manis cake shop,,,,,0.0
8.35e+17,ngee ann polytechnic,,,,,0.0
8.4e+17,rudyard kipling,,,,,0.0
8.48e+17,marina bay sands,,,,,0.0
8.55e+17,central perk,,,,,0.0
8.56e+17,tampines true fitness,,,,,0.0
8.56e+17,man man japanese unagi restaurant,,,,,0.0
8.58e+17,"bentenwebe heavier,php350",,,,,0.0
8.67e+17,little india,,,,,0.0
8.68e+17,hyang to gol,,,,,0.0
8.76e+17,putian flavor,,,,,0.0
8.76e+17,sembawang army,,,,,0.0
8.84e+17,blk 38 upper boon keng road,,,,,0.0
8.84e+17,palawan beach,,,,,0.0
8.88e+17,wanton,,,,,0.0
8.9e+17,labrador nature  coastal walk berlayer creek,,,,,0.0
8.9e+17,jewel coffee,,,,,0.0
9.06e+17,flower dome,,,,,0.0
9.27e+17,pasir ris,,,,,0.0
9.32e+17,pasir ris,,,,,0.0
9.32e+17,gillman barracks,,,,,0.0
9.35e+17,orchard road,,,,,0.0
9.51e+17,beast and butterflies,,,,,0.0
9.56e+17,parklane shopping mall,,,,,0.0
9.71e+17,wakey wakey,,,,,0.0
9.77e+17,foc sentosa,,,,,0.0
9.8e+17,marina bay sands,,,,,0.0
9.82e+17,pasir ris,,,,,0.0
9.85e+17,man man unagi,,,,,0.0
9.89e+17,parklane shopping mall,,,,,0.0
9.97e+17,jurong point,,,,,0.0
9.99e+17,singapore polytechnic,,,,,0.0
1.01e+18,texas chicken,,,,,0.0
1.02e+18,marina bay sands,,,,,0.0
1.02e+18,stefani parfumerie,,,,,0.0
1.02e+18,stefani parfumerie,,,,,0.0
1.03e+18,energyone jurong,,,,,0.0
1.03e+18,mount faber park,,,,,0.0
1.04e+18,kampong chicken eating house,,,,,0.0
1.04e+18,starbucks,,,,,0.0
1.04e+18,wardah books,,,,,0.0
1.04e+18,fish pool,,,,,0.0
1.04e+18,jurong singapore,,,,,0.0
1.05e+18,mount faber park,,,,,0.0
1.05e+18,emerald hill,,,,,0.0
