index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,id,processed_tweets,LOC,place,loc_pretrained,sentiment_scores
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51617e+17, and smell the coffee o pic twitter comm6t8yggpal,,"Central Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51622e+17,the smell of  velocity http instagram compmuboj8skhu,velocity,"Central Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51656e+17, when u see ur girl right after the game https twitter comchlldhoodruinerstatus451551499068248064photo1 pic twitter com0mqqt0bfvi uhmm noo id smell so bad  dont think its a gd time,,"East Region, Singapore",,-0.6696
durian,-0.926375926,0.434635371,0.439159125,-0.7709046009999999,-0.000836668,0.35342136,-0.39447245,0.229624152,0.874389946,1.251574993,-0.404269218,-0.572809875,-2.002628803,0.211080834,0.020762723,1.253609419,1.538916945,-1.3845708369999998,0.46749255100000003,0.206691682,-0.351163536,-0.146560267,-0.7856730820000001,-0.172714785,0.16876262399999997,0.238994911,-0.736528277,-0.139149591,0.7619315390000001,-1.409801245,0.070793279,0.11807052800000001,-0.044850870999999994,-0.08792500199999999,-1.102884293,-1.036275625,-0.217895329,-0.75202632,1.1843431,0.7388421890000001,-1.189006805,-1.201231122,-0.87402904,-1.272229433,0.319559991,0.597649753,-0.178281441,-0.40651869799999996,0.31547969600000003,0.55442512,4.5167e+17,omfg why does my room have a durian smell,,"Central Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51671e+17, wolf coyote wolves smell funny o,,"Central Region, Singapore",,0.4404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51679e+17,why does everyone smell like shit,,"West Region, Singapore",,-0.2732
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51685e+17, wong11 do you smell the popcorn ,,"East Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51686e+17, smell of a champion,,"East Region, Singapore",,0.5994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51865e+17,this smell if newspaper i remember that you hate it ,,"East Region, Singapore",,-0.5719
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51873e+17,i can smell weekend i can smell weekend ,,"North Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51892e+17,yucks the smell ha ,,"Central Region, Singapore",,0.34
everything,-0.034842797,-0.107094176,0.164288789,0.9228298070000001,0.241660237,1.080407858,1.021749973,-0.059859931,-0.035187036,0.722492039,0.47830194200000004,-0.228021219,-5.5094728470000005,-0.25824818,-0.73580271,0.496362299,0.11393278800000001,-0.058278363,-0.47561577,-0.269814134,0.475335836,0.082580961,-0.20157200100000003,0.824824035,-0.075261302,0.731500268,0.180107579,0.522225201,0.736873627,-0.446995646,-0.837871015,-0.066365123,-0.343213767,-0.083811611,-0.05529651,0.188446417,0.083531044,0.079246096,0.309074461,0.37472677200000004,-0.117564321,0.239027575,0.515675247,-0.749022007,-0.133032173,-0.418867946,0.137227029,-0.43659064200000003,-0.522052109,0.244619161,4.52008e+17, yea its like fingering their arse and bring the finger to the nose everything smell nice ,,"Central Region, Singapore",,0.6486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52034e+17, boys who smell good are automatically more attractive ,,"North-East Region, Singapore",,0.7264
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52044e+17,i must be really stinking up the whole train with the smoke and fire smell haha,,"West Region, Singapore",,-0.4754
mouth,-0.19690886100000002,-0.016245463999999998,0.079733193,0.23567797199999999,0.546854198,0.11316391099999999,0.833567858,0.42801842100000004,-0.514758646,0.9460967779999999,-0.09327174699999999,-0.126294047,-4.141057013999999,-1.295697451,-0.19227851899999998,-0.03621399,0.413806856,-0.9871624109999999,0.551524937,-1.089618802,-1.045036197,0.186490238,0.501226604,0.912827611,0.78757596,0.731946588,-0.318482637,0.543294013,-0.56164223,0.829250991,-0.55836314,0.40300869899999997,-0.353271127,-0.361905098,-0.510409832,0.6247357729999999,-0.419370234,0.20553036,0.297520489,0.738420546,0.250009745,0.23543775100000003,-0.725780845,0.210623577,0.643042326,-0.36266794799999996,1.305915475,0.391675979,0.447229892,0.697593749,4.5207e+17,this indian taxi driver is on the phone bbl dengan rancak and got his mouth smell ,,"North-East Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52302e+17, tells world wait and see on new test http bit ly1jbeok9 i smell nuclear dickheads ,,"West Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52316e+17,zhu du tang smell ,,"East Region, Singapore",,0.0
baked,0.193050832,-0.49592182,0.924118876,0.143547431,0.39225372700000005,0.32186803199999997,-0.940713823,-0.56545651,0.03026378,-0.5073487760000001,-1.157301188,-0.060040269,-2.622701645,-0.33227855,-0.18799077,-0.058200075999999996,0.44892060799999994,-1.396388292,-0.036545027,-0.058219448,-0.982438922,0.011907522,-0.26452383399999996,-0.599825323,0.009896048000000001,1.369792938,-0.780405879,0.106964625,0.461801529,-1.395725369,0.026290407000000002,1.472653985,-1.51658082,-0.135522619,-0.8908905979999999,0.006660615999999999,0.49955189200000005,-0.505228758,0.82910794,1.2334280009999998,0.24331383399999998,-0.574617684,0.429739475,-0.844254792,1.5245683190000001,0.469902545,0.9474707840000001,-0.30692130300000003,-0.590617478,0.644106388,4.52322e+17,smell of freshly baked breads  march w 2 others http 4sq com1je0cf9 pic twitter comerduyyc3mi,,"Central Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52323e+17,my urine got the belvedere smell feel like drinking it and see it got the same feel and taste as bel,,"North-East Region, Singapore",,0.3612
